Date,Confimed,Death,Recovered
30.Jan,1,0,0
31.Jan,0,0,0
1.Feb,0,0,0
2.Feb,1,0,0
3.Feb,1,0,0
4.Feb,0,0,0
5.Feb,0,0,0
6.Feb,0,0,0
7.Feb,0,0,0
8.Feb,0,0,0
9.Feb,0,0,0
10.Feb,0,0,0
11.Feb,0,0,0
12.Feb,0,0,0
13.Feb,0,0,1
14.Feb,0,0,0
15.Feb,0,0,0
16.Feb,0,0,1
17.Feb,0,0,0
18.Feb,0,0,0
19.Feb,0,0,0
20.Feb,0,0,1
21.Feb,0,0,0
22.Feb,0,0,0
23.Feb,0,0,0
24.Feb,0,0,0
25.Feb,0,0,0
26.Feb,0,0,0
27.Feb,0,0,0
28.Feb,0,0,0
29.Feb,0,0,0
1.Mar,0,0,0
2.Mar,2,0,0
3.Mar,1,0,0
4.Mar,22,0,0
5.Mar,2,0,0
6.Mar,1,0,0
7.Mar,3,0,0
8.Mar,5,0,0
9.Mar,9,0,0
10.Mar,15,0,1
11.Mar,8,0,0
12.Mar,10,1,0
13.Mar,10,0,6
14.Mar,11,1,0
15.Mar,10,0,3
16.Mar,14,0,1
17.Mar,20,1,1
18.Mar,25,0,0
19.Mar,27,1,5
20.Mar,58,0,3
21.Mar,78,0,0
22.Mar,69,3,0
23.Mar,94,2,2
24.Mar,74,1,15
25.Mar,86,1,3
26.Mar,73,5,7
27.Mar,153,3,25
28.Mar,136,5,10
29.Mar,120,3,17
30.Mar,187,14,35
31.Mar,309,6,13
1.Apr,424,6,19
2.Apr,486,16,22
3.Apr,560,14,39
4.Apr,579,13,56
5.Apr,609,22,43
6.Apr,484,16,65
7.Apr,573,27,75
8.Apr,565,20,96
9.Apr,813,46,70
10.Apr,871,22,151
11.Apr,854,41,186
12.Apr,758,42,114
13.Apr,1243,27,112
14.Apr,1031,37,167
15.Apr,886,27,144
16.Apr,1061,26,258
17.Apr,922,38,273
18.Apr,1371,35,426
19.Apr,1580,38,388
20.Apr,1239,33,419
21.Apr,1537,53,703
22.Apr,1292,36,394
23.Apr,1667,40,642
24.Apr,1408,59,484
25.Apr,1835,44,442
26.Apr,1607,56,585
27.Apr,1568,58,580
28.Apr,1902,69,636
29.Apr,1705,71,690
30.Apr,1801,75,630
1.May,2396,77,962
2.May,2564,92,831
3.May,2952,140,911
4.May,3656,103,1082
5.May,2971,128,1295
6.May,3602,91,1161
7.May,3344,104,1475
8.May,3339,97,1111
9.May,3175,115,1414
10.May,4311,112,1669
11.May,3592,81,1579
12.May,3562,120,1905
13.May,3726,137,1963
14.May,3991,97,1594
15.May,3808,104,2234
16.May,4794,120,4012
17.May,5049,152,2538
18.May,4628,131,2482
19.May,6154,146,3032
20.May,5720,134,3113
21.May,6023,148,3131
22.May,6536,142,3280
23.May,6667,142,2576
24.May,7111,156,3285
25.May,6414,150,3012
26.May,5907,173,3585
27.May,7246,188,3434
28.May,7254,176,3171
29.May,8138,269,11735
30.May,8364,205,4303
31.May,8789,222,4928
1.Jun,7723,201,3882
2.Jun,8812,222,4531
3.Jun,9689,259,3789
4.Jun,9847,274,4390
5.Jun,9472,286,4770
6.Jun,10408,297,5433
7.Jun,10882,261,5191
8.Jun,8536,271,5171
9.Jun,9981,272,5634
10.Jun,11156,358,6275
11.Jun,11135,394,6044
12.Jun,11306,388,7263
13.Jun,12039,309,8092
14.Jun,11405,324,7358
15.Jun,10032,396,10639
16.Jun,11086,2004,7226
17.Jun,13108,341,6890
18.Jun,13829,343,10741
19.Jun,14740,364,9029
20.Jun,15918,308,13974
21.Jun,15151,426,9075
22.Jun,13560,312,10879
23.Jun,15656,468,10462
24.Jun,16868,424,13089
25.Jun,18205,401,13983
26.Jun,18255,381,10246
27.Jun,20142,414,14229
28.Jun,19610,384,11631
29.Jun,18339,417,13497
30.Jun,18256,506,12565
1.Jul,19429,438,12064
2.Jul,21947,378,19999
3.Jul,22718,444,14417
4.Jul,24018,611,14746
5.Jul,23942,421,15829
6.Jul,22500,473,15315
7.Jul,23147,479,16836
8.Jul,25561,492,19508
9.Jul,25790,479,19408
10.Jul,27762,520,20289
11.Jul,27757,543,19981
12.Jul,29106,500,18198
13.Jul,28178,541,17683
14.Jul,29917,587,20977
15.Jul,32607,614,20646
16.Jul,35468,680,22867
17.Jul,34820,676,17476
18.Jul,37411,543,23583
19.Jul,40235,675,22730
20.Jul,36806,596,24303
21.Jul,39170,671,27589
22.Jul,45601,1130,31875
23.Jul,48443,755,33326
24.Jul,48888,763,32514
25.Jul,50072,703,37125
26.Jul,48932,704,31512
27.Jul,46484,642,34354
28.Jul,49631,774,35683
29.Jul,52479,775,32886
30.Jul,54968,784,37425
31.Jul,57486,764,36554
1.Aug,55117,854,51368
2.Aug,52672,760,40355
3.Aug,50488,806,43070
4.Aug,51282,849,51220
5.Aug,56626,919,45583
6.Aug,62170,899,50141
